"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Essenceknit Scholar","BG","U","3630","3.39","842","3.99","4475","84.2%","56.0%","774","56.5%","1133","59.2%","1907","58.1%","2480","54.0%","4.1pp"
"Fix What's Broken","WB","R","2126","4.55","299","","562","28.6%","50.2%","86","","138","","224","","334","",""
"Fractal Mascot","UG","C","15465","6.67","1989","9.61","6258","49.8%","53.6%","1022","51.8%","1849","59.2%","2871","56.6%","3273","50.9%","5.7pp"
"Fractal Tender","UG","U","4658","4.38","862","5.56","4001","73.1%","53.4%","677","53.9%","1085","57.1%","1762","55.9%","2150","51.1%","4.8pp"
"Geometer's Arthropod","UG","R","1928","4.08","333","","1110","51.8%","53.2%","192","","272","","464","","622","50.3%",""
"Grapple with Death","BG","C","10272","4.02","2127","5.22","11515","86.6%","55.2%","1978","54.3%","2962","58.8%","4940","57.0%","6474","53.6%","3.4pp"
"Growth Curve","UG","U","6360","6.76","691","10.13","871","19.6%","45.1%","144","","231","","375","","493","",""
"Hardened Academic","WR","R","1220","2.75","528","2.74","2691","82.0%","58.8%","486","","760","63.0%","1246","63.1%","1438","55.0%","8.1pp"
"Imperious Inkmage","WB","C","15091","6.68","2099","9.17","7485","55.3%","57.6%","1269","56.4%","1881","58.4%","3150","57.6%","4316","57.4%","0.2pp"
"Inkling Mascot","WB","C","14666","6.26","2214","8.38","9472","65.6%","57.8%","1670","59.4%","2219","56.3%","3889","57.6%","5565","57.9%","-0.3pp"
"Killian's Confidence","WB","U","4571","4.35","902","5.44","4295","73.8%","55.8%","738","54.5%","1050","56.7%","1788","55.8%","2497","55.8%","-0.1pp"
"Kirol, History Buff","WR","U","4844","4.61","1131","5.62","5549","77.7%","58.0%","989","59.5%","1413","57.7%","2402","58.5%","3149","57.7%","0.8pp"
"Lluwen, Exchange Student","BG","U","3644","3.34","801","4.10","4141","82.1%","54.4%","722","51.5%","1086","60.4%","1808","56.9%","2275","52.2%","4.6pp"
"Lorehold Charm","WR","U","5858","5.79","946","7.87","2911","47.8%","56.6%","498","","736","58.0%","1234","57.7%","1678","55.7%","2.0pp"
"Lorehold, the Historian","WR","M","347","","246","","1382","88.1%","55.1%","221","","376","","597","58.8%","777","52.1%","6.7pp"
"Mind into Matter","UG","R","1226","2.60","491","","2617","81.5%","55.9%","486","","748","59.8%","1234","56.7%","1291","54.4%","2.3pp"
"Mind Roots","BG","U","5162","4.83","841","6.36","3254","61.7%","52.5%","522","54.6%","805","52.0%","1327","53.1%","1902","51.9%","1.2pp"
"Molten Note","WR","U","4961","4.45","1278","5.26","6523","79.0%","58.1%","1036","57.1%","1776","61.7%","2812","60.0%","3670","56.7%","3.3pp"
"Moment of Reckoning","WB","R","1223","2.54","524","2.47","2732","77.4%","59.8%","428","","747","69.7%","1175","67.0%","1511","53.7%","13.3pp"
"Nita, Forum Conciliator","WB","R","1792","3.48","360","","1217","54.6%","52.7%","244","","321","","565","52.2%","650","52.8%","-0.6pp"
"Old-Growth Educator","BG","U","4539","4.29","741","5.72","3694","79.4%","54.0%","629","53.9%","940","55.2%","1569","54.7%","2073","52.7%","2.0pp"
"Paradox Surveyor","UG","U","4663","4.25","1040","5.31","5342","77.8%","54.7%","949","57.4%","1473","56.5%","2422","56.9%","2808","52.4%","4.5pp"
"Pest Mascot","BG","C","12389","5.01","1782","6.87","8391","76.3%","53.7%","1385","52.2%","2065","53.3%","3450","52.9%","4854","54.2%","-1.3pp"
"Practiced Scrollsmith","WR","U","4413","4.04","1303","4.68","6988","84.1%","58.5%","1138","55.5%","1903","61.1%","3041","59.0%","3919","57.9%","1.1pp"
"Prismari Charm","UR","U","4936","4.57","1066","6.00","5337","78.3%","55.9%","920","56.5%","1555","60.4%","2475","58.9%","2691","52.6%","6.3pp"
"Prismari, the Inspiration","UR","M","460","","209","","1096","82.0%","54.7%","192","","325","","517","56.1%","553","52.1%","4.0pp"
"Proctor's Gaze","UG","U","4842","4.40","1036","5.63","5387","79.7%","56.4%","906","56.4%","1561","59.8%","2467","58.6%","2820","54.3%","4.3pp"
"Professor Dellian Fel","BG","M","310","","218","","1346","89.9%","59.5%","248","","343","","591","66.7%","724","53.0%","13.6pp"
"Pterafractyl","UG","C","14106","5.86","2021","8.30","8495","66.2%","53.6%","1450","48.5%","2395","57.6%","3845","54.2%","4348","52.2%","2.0pp"
"Pursue the Past","WR","C","15096","6.83","2817","8.66","10421","58.8%","58.6%","1824","59.3%","2670","61.3%","4494","60.5%","5913","57.0%","3.5pp"
"Quandrix Charm","UG","U","5224","4.91","856","6.64","3765","67.6%","54.2%","647","55.2%","1062","61.5%","1709","59.1%","1996","50.2%","8.9pp"
"Quandrix, the Proof","UG","M","302","","199","","1157","89.9%","58.0%","207","","351","","558","64.3%","569","50.4%","13.9pp"
"Rapturous Moment","UR","U","5522","5.47","974","7.30","3416","56.3%","53.5%","578","49.8%","1018","58.4%","1596","55.3%","1692","51.4%","4.0pp"
"Render Speechless","WB","C","15904","7.23","2306","9.69","5993","41.0%","57.6%","987","54.5%","1576","59.2%","2563","57.4%","3385","57.7%","-0.3pp"
"Resonating Lute","UR","R","1446","3.08","497","","2208","73.0%","53.4%","368","","656","58.2%","1024","55.8%","1107","50.4%","5.4pp"
"Root Manipulation","BG","U","6069","5.80","739","8.42","1853","40.4%","53.6%","322","","420","","742","55.5%","1105","51.8%","3.8pp"
"Sanar, Unfinished Genius","UR","U","4097","3.80","1091","4.62","5828","83.2%","55.9%","996","59.0%","1749","60.4%","2745","59.9%","2951","51.9%","8.0pp"
"Scolding Administrator","WB","U","3921","3.74","950","4.40","4880","81.0%","58.9%","865","61.8%","1208","59.0%","2073","60.2%","2791","57.8%","2.4pp"
"Silverquill Charm","WB","U","4574","4.18","919","5.02","4764","76.0%","59.1%","805","62.2%","1242","61.4%","2047","61.7%","2680","57.1%","4.7pp"
"Silverquill, the Disputant","WB","M","368","","207","","1074","82.6%","54.4%","166","","300","","466","","600","55.3%",""
"Snooping Page","WB","U","4339","4.11","880","4.94","4432","77.8%","56.5%","792","60.1%","1011","54.9%","1803","57.2%","2617","56.1%","1.0pp"
"Social Snub","WB","U","6529","6.54","694","9.75","758","16.5%","49.3%","120","","195","","315","","438","",""
"Spectacular Skywhale","UR","U","4383","4.20","886","5.34","4381","78.3%","51.7%","716","50.4%","1280","54.5%","1996","53.0%","2279","50.4%","2.6pp"
"Spirit Mascot","WR","C","14043","6.09","2668","7.80","12779","74.1%","58.3%","2255","57.4%","3385","56.3%","5640","56.8%","7148","59.5%","-2.7pp"
"Splatter Technique","UR","R","1205","2.63","525","2.64","2758","83.5%","57.3%","473","","833","66.9%","1306","63.3%","1302","50.2%","13.1pp"
"Stadium Tidalmage","UR","C","15441","6.87","2263","9.70","6245","44.4%","53.6%","1018","54.1%","1838","56.1%","2856","55.4%","3277","51.7%","3.7pp"
"Startled Relic Sloth","WR","U","4385","4.11","1166","4.91","5977","81.1%","57.6%","1032","60.5%","1638","58.1%","2670","59.0%","3308","56.4%","2.6pp"
"Stirring Honormancer","WB","U","4745","4.56","1008","5.66","4743","71.8%","58.1%","775","51.9%","1266","62.2%","2041","58.3%","2673","57.9%","0.4pp"
"Stress Dream","UR","U","3897","3.59","1256","4.14","7450","88.6%","57.5%","1266","58.1%","2181","64.6%","3447","62.2%","3687","52.5%","9.7pp"
"Suspend Aggression","WR","R","2003","4.04","544","4.69","2221","63.9%","58.6%","374","","619","62.4%","993","61.3%","1213","56.2%","5.1pp"
"Tam, Observant Sequencer","UG","U","3985","3.86","789","4.83","4046","79.5%","53.5%","670","51.0%","1135","56.2%","1805","54.3%","2146","52.5%","1.8pp"
"Teacher's Pest","BG","U","4051","3.84","789","4.88","3973","80.0%","54.8%","705","55.9%","916","56.7%","1621","56.3%","2307","53.7%","2.7pp"
"Traumatic Critique","UR","R","1049","2.26","525","2.16","2900","85.2%","56.1%","502","58.0%","843","62.9%","1345","61.0%","1419","50.7%","10.3pp"
"Vibrant Outburst","UR","U","4059","3.65","1113","4.44","6265","86.8%","57.1%","1071","58.3%","1824","59.4%","2895","59.0%","3125","54.5%","4.5pp"
"Vicious Rivalry","BG","R","1193","2.65","451","","2221","79.4%","55.4%","390","","563","58.4%","953","57.9%","1247","53.0%","4.9pp"
"Visionary's Dance","UR","C","14390","5.84","2508","7.93","11156","71.0%","54.7%","1992","53.7%","3369","59.3%","5361","57.2%","5433","51.5%","5.7pp"
"Wilt in the Heat","WR","C","13684","5.73","2940","7.31","13451","71.6%","57.3%","2280","55.9%","3607","59.8%","5887","58.3%","7501","56.5%","1.8pp"
"Witherbloom Charm","BG","U","4815","4.45","764","6.08","3574","72.7%","54.2%","591","49.9%","893","56.7%","1484","54.0%","2078","54.5%","-0.5pp"
"Witherbloom, the Balancer","BG","M","382","","203","","1072","82.8%","52.5%","186","","268","","454","","602","53.3%",""
"Zaffai and the Tempests","UR","R","2084","4.11","368","","1135","49.9%","51.1%","172","","349","","521","52.4%","592","50.7%","1.7pp"
"Biblioplex Tomekeeper","","C","17213","8.27","1822","12.07","309","2.7%","","43","","87","","130","","176","",""
"Diary of Dreams","","U","6242","5.79","1012","7.91","3133","50.2%","52.3%","528","51.5%","911","51.9%","1439","51.8%","1654","52.6%","-0.8pp"
"Mage Tower Referee","","C","16643","7.29","2161","10.51","3767","27.7%","52.8%","694","51.9%","923","53.0%","1617","52.5%","2132","53.1%","-0.6pp"
"Page, Loose Leaf","","C","16582","7.80","2128","11.03","2827","21.3%","55.0%","543","52.3%","775","55.5%","1318","54.2%","1484","55.8%","-1.6pp"
"Potioner's Trove","","C","14930","5.99","2522","8.24","9672","60.6%","55.6%","1806","56.9%","2581","59.0%","4387","58.1%","5150","53.2%","4.9pp"
"Strixhaven Skycoach","","U","5294","4.66","1454","5.60","7289","76.7%","57.9%","1361","60.0%","1962","60.4%","3323","60.3%","3930","55.8%","4.5pp"
"Deathcap Glade","","R","2044","3.68","402","","1940","75.3%","54.0%","376","","458","","834","55.2%","1066","52.6%","2.5pp"
"Dreamroot Cascade","","R","2104","3.70","442","","2197","73.6%","54.6%","427","","574","55.9%","1001","56.0%","1139","53.0%","3.0pp"
"Fields of Strife","","C","17551","6.09","3425","8.35","16188","74.3%","57.0%","2987","58.7%","4250","58.1%","7237","58.3%","8848","56.0%","2.4pp"
"Forum of Amity","","C","17180","5.87","2865","8.34","12375","67.8%","56.4%","2363","57.0%","2919","55.8%","5282","56.4%","7010","56.3%","0.1pp"
"Great Hall of the Biblioplex","","R","2142","3.87","446","","2347","83.8%","55.8%","443","","635","62.4%","1078","59.4%","1227","52.4%","7.0pp"
"Paradox Gardens","","C","16799","5.59","2978","7.75","14935","78.9%","54.5%","2773","54.7%","3961","57.5%","6734","56.3%","7946","53.0%","3.4pp"
"Petrified Hamlet","","R","3429","6.31","374","","47","2.0%","","7","","15","","22","","25","",""
"Shattered Sanctum","","R","2187","3.85","425","","1837","71.8%","55.3%","315","","434","","749","55.7%","1071","54.6%","1.1pp"
"Skycoach Waypoint","","U","6855","7.01","694","10.60","1053","23.8%","51.4%","169","","258","","427","","619","51.9%",""
"Spectacle Summit","","C","16826","5.67","3239","7.88","16197","79.5%","55.4%","3010","55.3%","4430","59.1%","7440","57.6%","8515","53.7%","3.9pp"
"Stormcarved Coast","","R","2111","3.67","460","","2364","80.8%","55.2%","467","","616","60.1%","1083","58.3%","1220","52.2%","6.1pp"
"Sundown Pass","","R","2276","3.96","482","","2501","76.0%","56.3%","476","","671","59.2%","1147","58.9%","1333","53.6%","5.3pp"
"Terramorphic Expanse","","C","13140","4.69","2853","6.50","16845","93.3%","55.9%","3278","58.1%","4361","56.8%","7639","57.4%","9053","54.7%","2.6pp"
"Titan's Grave","","C","16809","5.56","2679","7.81","13488","78.8%","54.8%","2572","55.7%","3353","54.5%","5925","55.0%","7393","54.5%","0.5pp"
"Akroma's Will","W","M","124","","56","","377","","","56","","95","","151","","222","",""
"Angel's Grace","W","R","704","5.58","78","","27","","","3","","7","","10","","17","",""
"Armageddon","W","M","188","","35","","141","","","27","","19","","46","","94","",""
"Duty Beyond Death","W","U","6085","6.26","709","9.33","1028","23.4%","54.2%","173","","257","","430","","596","55.4%",""
"Helping Hand","W","U","5455","5.35","757","7.50","2528","52.9%","56.0%","401","","659","56.1%","1060","56.2%","1454","55.8%","0.4pp"
"Hop to It","W","U","5352","5.20","1006","6.56","4310","66.6%","56.8%","747","53.9%","1106","56.6%","1853","55.5%","2445","57.7%","-2.2pp"
"Prismatic Ending","W","R","531","4.43","116","","427","58.4%","","74","","104","","178","","242","",""
"Repel Calamity","W","U","3905","3.79","996","4.55","5642","86.9%","57.3%","989","56.6%","1459","61.3%","2448","59.4%","3149","55.6%","3.8pp"
"Reprieve","W","R","448","","111","","481","72.4%","","81","","111","","192","","285","",""
"Requisition Raid","W","U","5822","5.93","618","8.84","1115","28.3%","54.6%","199","","276","","475","","634","54.1%",""
"Return to the Ranks","W","R","523","4.81","61","","93","","","16","","24","","40","","53","",""
"Winds of Abandon","W","M","127","","56","","360","","","70","","87","","157","","200","",""
"Brain Freeze","U","R","588","5.15","82","","184","33.2%","","33","","55","","88","","85","",""
"Cyclonic Rift","U","M","117","","62","","333","","","53","","100","","153","","169","",""
"Daze","U","R","481","","89","","336","56.0%","","65","","96","","161","","171","",""
"Deduce","U","U","5554","5.25","955","7.08","4002","67.4%","53.9%","716","55.3%","1103","56.8%","1819","56.2%","2097","51.5%","4.7pp"
"Disdainful Stroke","U","U","5529","5.32","946","7.27","3812","64.6%","53.9%","629","52.1%","1156","55.8%","1785","54.5%","1928","52.8%","1.7pp"
"Flusterstorm","U","M","285","","36","","32","","","12","","5","","17","","15","",""
"Force of Will","U","M","142","","40","","166","","","27","","59","","86","","73","",""
"Pongify","U","R","601","4.96","71","","101","","","18","","37","","55","","43","",""
"Preordain","U","R","410","","90","","450","83.3%","","85","","125","","210","","231","",""
"Sleight of Hand","U","U","5789","5.39","872","7.55","3396","61.4%","54.7%","597","51.9%","1006","57.6%","1603","55.5%","1738","54.0%","1.5pp"
"Spell Pierce","U","U","6256","6.47","723","9.50","1385","29.0%","51.0%","231","","391","","622","51.6%","736","49.9%","1.7pp"
"Stock Up","U","U","3115","2.95","1128","3.37","6494","91.0%","56.3%","1140","58.1%","1951","60.2%","3091","59.4%","3246","52.9%","6.5pp"
"Ad Nauseam","B","M","305","","31","","13","","","1","","2","","3","","10","",""
"Bitter Triumph","B","U","3010","2.87","899","3.39","5389","90.0%","56.8%","954","57.4%","1402","59.6%","2356","58.7%","2996","55.0%","3.7pp"
"Culling the Weak","B","R","598","5.36","48","","19","","","3","","4","","7","","12","",""
"Dismember","B","R","195","","114","","688","96.0%","58.7%","126","","191","","317","","361","",""
"Feed the Swarm","B","U","3735","3.54","756","4.47","4194","86.6%","55.0%","727","53.8%","1026","56.3%","1753","55.3%","2401","54.5%","0.8pp"
"Living End","B","M","299","","33","","5","","","0","","1","","1","","4","",""
"Locust Spray","B","U","6362","6.16","739","9.05","1615","35.0%","53.7%","267","","395","","662","55.6%","947","52.5%","3.1pp"
"Sheoldred's Edict","B","R","369","","70","","301","","","55","","65","","120","","178","",""
"Smallpox","B","R","622","5.85","69","","23","","","3","","4","","7","","16","",""
"Stargaze","B","U","6591","6.70","842","9.72","1296","24.7%","51.6%","225","","325","","550","56.0%","745","48.1%","7.9pp"
"Vampiric Tutor","B","M","171","","31","","65","","","17","","13","","30","","35","",""
"Zombify","B","U","6029","5.90","579","8.94","722","20.6%","47.8%","118","","180","","298","","419","",""
"Abrade","R","U","3426","3.14","1169","3.64","6596","90.8%","56.6%","1148","57.6%","1865","59.2%","3013","58.6%","3471","54.8%","3.8pp"
"Big Score","R","R","490","","101","","441","71.6%","","77","","146","","223","","211","",""
"Brotherhood's End","R","R","430","","96","","406","70.0%","","68","","112","","180","","216","",""
"Bulk Up","R","U","6479","6.78","705","10.31","682","15.6%","52.1%","119","","188","","307","","372","",""
"Burst Lightning","R","U","3287","3.08","1189","3.58","7040","91.4%","57.0%","1240","59.1%","1941","60.2%","3181","59.8%","3719","54.3%","5.5pp"
"Crackle with Power","R","M","125","","64","","387","","","67","","125","","192","","176","",""
"Empty the Warrens","R","R","568","4.95","75","","187","","","31","","50","","81","","99","",""
"Jeska's Will","R","M","260","","29","","49","","","8","","15","","23","","26","",""
"Monstrous Rage","R","U","5524","5.26","887","7.13","3283","55.6%","57.2%","559","55.1%","795","60.1%","1354","58.1%","1901","56.3%","1.8pp"
"Pyretic Ritual","R","R","651","5.65","67","","57","","","12","","12","","24","","31","",""
"Return the Favor","R","U","6385","6.72","755","9.81","986","20.3%","50.8%","157","","264","","421","","551","49.9%",""
"Subterranean Tremors","R","M","133","","65","","352","","","64","","108","","172","","169","",""
"Awaken the Woods","G","M","125","","39","","182","","","30","","39","","69","","111","",""
"Berserk","G","M","284","","32","","80","","","13","","21","","34","","45","",""
"Crop Rotation","G","R","696","6.16","73","","25","4.9%","","4","","3","","7","","18","",""
"Giant Growth","G","U","6491","6.52","704","9.84","1292","29.7%","51.6%","224","","318","","542","51.5%","741","51.8%","-0.3pp"
"Glimpse of Nature","G","R","651","5.77","69","","27","","","4","","4","","8","","19","",""
"Knockout Maneuver","G","U","4272","3.92","890","5.08","4533","82.0%","54.6%","754","57.7%","1178","60.6%","1932","59.5%","2543","50.7%","8.8pp"
"Pick Your Poison","G","U","6578","6.97","608","10.79","328","8.8%","","64","","83","","147","","172","",""
"Royal Treatment","G","U","5498","5.16","805","7.16","3345","66.5%","53.0%","573","57.4%","867","54.6%","1440","55.7%","1872","50.8%","4.9pp"
"Shamanic Revelation","G","R","490","","69","","202","","","36","","42","","78","","121","",""
"Shared Roots","G","U","4675","4.42","856","5.73","3957","72.7%","52.7%","726","56.3%","1032","53.6%","1758","54.7%","2180","51.1%","3.6pp"
"Triumph of the Hordes","G","M","211","","29","","64","","","12","","16","","28","","36","",""
"Veil of Summer","G","R","632","6.01","80","","47","","","6","","9","","15","","32","",""
"Bring to Light","UG","R","610","4.90","84","","157","","","35","","48","","83","","74","",""
"Culling Ritual","BG","R","507","4.68","75","","172","","","29","","51","","80","","90","",""
"Deflecting Palm","WR","R","593","5.22","64","","80","","","18","","16","","34","","46","",""
"Expressive Iteration","UR","R","401","","111","","563","80.0%","54.4%","91","","158","","249","","296","",""
"Fracture","WB","R","595","5.62","67","","71","","","15","","18","","33","","38","",""
"Archaeomancer","U","C","312","","60","","193","","","34","","52","","86","","100","",""
"Archmage Emeritus","U","R","114","","44","","281","","","53","","71","","124","","153","",""
"Murmuring Mystic","U","U","154","","52","","276","","","62","","87","","149","","113","",""
"Grim Haruspex","B","R","145","","49","","291","","","53","","57","","110","","178","",""
"Dualcaster Mage","R","R","147","","40","","208","","","36","","59","","95","","110","",""
"Magus of the Library","G","R","205","","29","","83","","","14","","16","","30","","51","",""
"Sylvan Library","G","M","120","","32","","115","","","22","","23","","45","","68","",""
"Adrix and Nev, Twincasters","UG","M","159","","23","","53","","","9","","13","","22","","30","",""
"Codie, Vociferous Codex","","R","252","","41","","85","","","14","","28","","42","","43","",""
"Library of Alexandria","","M","120","","48","","232","","","45","","62","","107","","121","",""
