"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Fractal Mascot","UG","C","14478","6.63","1961","9.45","6098","50.4%","52.7%","983","49.1%","1766","56.9%","2749","54.1%","3243","51.1%","3.0pp"
"Fractal Tender","UG","U","4490","4.47","846","5.90","3561","69.1%","52.0%","581","47.2%","982","56.4%","1563","53.0%","1927","50.9%","2.1pp"
"Geometer's Arthropod","UG","R","2017","4.31","396","","1250","52.2%","52.7%","214","","342","","556","53.1%","670","52.1%","1.0pp"
"Grapple with Death","BG","C","9767","3.96","1862","5.20","10026","84.2%","54.4%","1676","52.9%","2586","60.5%","4262","57.5%","5671","51.9%","5.6pp"
"Growth Curve","UG","U","6143","6.97","679","10.33","770","18.1%","51.0%","126","","203","","329","","434","",""
"Hardened Academic","WR","R","1241","2.72","484","","2674","85.1%","59.5%","475","","711","62.4%","1186","63.0%","1491","56.9%","6.1pp"
"Imperious Inkmage","WB","C","14302","6.60","2046","8.94","7767","59.4%","56.8%","1327","57.2%","1897","57.9%","3224","57.6%","4520","56.3%","1.3pp"
"Inkling Mascot","WB","C","13519","6.15","2024","8.24","8677","66.6%","55.7%","1471","56.2%","2066","53.8%","3537","54.8%","5118","56.2%","-1.4pp"
"Killian's Confidence","WB","U","4205","4.36","851","5.37","4012","73.4%","57.0%","673","54.5%","927","58.6%","1600","56.9%","2389","56.8%","0.1pp"
"Kirol, History Buff","WR","U","4465","4.50","974","5.56","4911","77.5%","56.9%","851","59.9%","1295","56.3%","2146","57.7%","2772","56.3%","1.5pp"
"Lluwen, Exchange Student","BG","U","3596","3.57","771","4.59","3849","81.1%","54.1%","674","55.2%","929","57.2%","1603","56.3%","2175","51.9%","4.4pp"
"Lorehold Charm","WR","U","5508","5.72","893","7.63","2896","51.4%","55.2%","490","","766","58.0%","1256","54.1%","1642","56.0%","-1.9pp"
"Lorehold, the Historian","WR","M","324","","233","","1295","89.9%","56.5%","216","","368","","584","59.2%","694","54.6%","4.6pp"
"Mind into Matter","UG","R","1236","2.57","468","","2379","82.3%","54.6%","399","","656","61.6%","1055","59.5%","1242","50.4%","9.1pp"
"Mind Roots","BG","U","4843","4.88","724","6.63","2792","64.0%","53.0%","468","","695","52.8%","1163","54.5%","1613","51.7%","2.8pp"
"Molten Note","WR","U","4495","4.37","1191","5.23","6195","80.0%","58.5%","1070","59.0%","1682","62.8%","2752","61.3%","3411","55.9%","5.4pp"
"Moment of Reckoning","WB","R","1154","2.69","509","2.72","2575","77.2%","59.7%","400","","735","66.4%","1135","64.9%","1386","54.5%","10.5pp"
"Nita, Forum Conciliator","WB","R","1795","3.79","356","","1245","59.4%","52.7%","233","","309","","542","51.1%","691","54.0%","-2.9pp"
"Old-Growth Educator","BG","U","4425","4.34","682","5.89","3226","74.1%","54.3%","537","57.0%","802","54.2%","1339","55.3%","1857","53.0%","2.4pp"
"Paradox Surveyor","UG","U","4373","4.29","1050","5.30","5050","77.1%","55.0%","881","55.4%","1428","58.3%","2309","57.2%","2627","53.1%","4.1pp"
"Pest Mascot","BG","C","11775","4.99","1504","7.05","7321","77.2%","54.4%","1247","55.8%","1808","54.0%","3055","54.8%","4167","54.3%","0.5pp"
"Practiced Scrollsmith","WR","U","3973","3.99","1180","4.72","6533","83.4%","59.1%","1105","57.9%","1809","62.6%","2914","60.8%","3593","57.7%","3.2pp"
"Prismari Charm","UR","U","4680","4.55","961","5.81","4841","79.6%","55.5%","886","55.4%","1412","60.8%","2298","58.7%","2389","52.5%","6.3pp"
"Prismari, the Inspiration","UR","M","426","","189","","1020","84.1%","54.0%","157","","312","","469","","529","49.3%",""
"Proctor's Gaze","UG","U","4645","4.38","1090","5.40","5409","78.2%","55.9%","927","56.1%","1568","60.1%","2495","58.6%","2791","53.2%","5.4pp"
"Professor Dellian Fel","BG","M","295","","215","","1064","84.8%","54.9%","186","","288","","474","","573","49.2%",""
"Pterafractyl","UG","C","13537","5.83","1932","8.30","7750","62.6%","53.4%","1377","51.7%","2210","55.1%","3587","53.8%","3909","52.0%","1.8pp"
"Pursue the Past","WR","C","13974","6.66","2763","8.40","10974","62.5%","59.1%","1851","60.2%","2945","61.4%","4796","60.9%","6157","57.8%","3.2pp"
"Quandrix Charm","UG","U","4995","4.97","933","6.51","3951","67.7%","54.5%","654","54.7%","1099","60.0%","1753","58.0%","2143","51.1%","6.9pp"
"Quandrix, the Proof","UG","M","302","","224","","1246","89.0%","54.7%","235","","375","","610","58.4%","604","50.2%","8.2pp"
"Rapturous Moment","UR","U","5373","5.53","872","7.40","2929","55.5%","52.4%","478","","859","56.0%","1337","53.6%","1488","50.4%","3.2pp"
"Render Speechless","WB","C","14651","7.11","2230","9.53","6106","42.5%","57.1%","1032","57.1%","1565","59.0%","2597","58.2%","3449","56.2%","2.0pp"
"Resonating Lute","UR","R","1357","2.96","453","","2021","72.9%","54.4%","329","","614","59.1%","943","56.5%","1001","51.6%","4.9pp"
"Root Manipulation","BG","U","5791","5.90","700","8.77","1778","40.2%","51.9%","289","","420","","709","50.5%","1062","52.0%","-1.5pp"
"Sanar, Unfinished Genius","UR","U","3866","3.82","1020","4.63","5501","82.9%","56.7%","974","60.3%","1604","59.7%","2578","59.9%","2801","53.4%","6.4pp"
"Scolding Administrator","WB","U","3683","3.66","906","4.22","4944","82.6%","57.3%","882","62.6%","1254","58.8%","2136","60.3%","2799","55.1%","5.3pp"
"Silverquill Charm","WB","U","4280","4.04","944","5.01","4514","78.1%","57.0%","762","57.3%","1118","61.1%","1880","59.6%","2588","55.1%","4.5pp"
"Silverquill, the Disputant","WB","M","379","","203","","1039","83.1%","55.1%","167","","275","","442","","583","52.7%",""
"Snooping Page","WB","U","4002","4.00","809","4.86","4204","80.6%","55.4%","770","54.8%","1011","55.8%","1781","55.4%","2404","55.3%","0.0pp"
"Social Snub","WB","U","6064","6.61","634","10.20","565","14.7%","48.3%","89","","154","","243","","317","",""
"Spectacular Skywhale","UR","U","4281","4.35","819","5.60","3934","76.8%","53.1%","660","49.4%","1097","53.7%","1757","52.1%","2071","53.4%","-1.3pp"
"Spirit Mascot","WR","C","13220","6.05","2389","7.75","11439","74.8%","57.5%","2020","58.8%","2997","55.7%","5017","57.0%","6426","57.9%","-0.9pp"
"Splatter Technique","UR","R","1085","2.43","491","","2683","82.3%","56.8%","466","","827","63.8%","1293","61.4%","1241","51.7%","9.8pp"
"Stadium Tidalmage","UR","C","14825","6.90","2062","9.63","6028","46.3%","53.7%","1012","53.9%","1746","55.1%","2758","54.6%","3166","52.8%","1.9pp"
"Startled Relic Sloth","WR","U","4124","4.17","1073","4.82","5945","84.9%","59.5%","997","58.1%","1682","62.2%","2679","60.7%","3264","58.5%","2.2pp"
"Stirring Honormancer","WB","U","4476","4.50","1006","5.60","4600","73.3%","57.6%","762","57.6%","1175","60.0%","1937","59.1%","2609","56.2%","2.8pp"
"Stress Dream","UR","U","3628","3.50","1228","3.96","7039","88.2%","57.3%","1165","57.2%","2197","63.5%","3362","61.3%","3421","52.7%","8.6pp"
"Suspend Aggression","WR","R","1760","3.88","492","","2147","68.8%","57.1%","367","","594","59.8%","961","59.3%","1181","55.0%","4.3pp"
"Tam, Observant Sequencer","UG","U","4004","3.87","832","4.91","4046","79.5%","52.7%","668","49.0%","1173","56.1%","1841","53.5%","2136","52.1%","1.4pp"
"Teacher's Pest","BG","U","3949","3.88","740","4.85","3946","83.5%","54.6%","711","53.7%","923","56.2%","1634","55.1%","2271","54.0%","1.2pp"
"Traumatic Critique","UR","R","970","2.17","536","2.21","3046","88.2%","57.3%","517","57.1%","905","65.1%","1422","62.2%","1483","51.1%","11.1pp"
"Vibrant Outburst","UR","U","3724","3.58","998","4.36","5393","85.2%","55.9%","934","56.4%","1557","59.2%","2491","58.1%","2708","53.0%","5.1pp"
"Vicious Rivalry","BG","R","1144","2.54","410","","2162","82.0%","54.5%","398","","600","58.8%","998","58.8%","1146","50.6%","8.2pp"
"Visionary's Dance","UR","C","13319","5.73","2373","7.83","10850","70.6%","55.0%","1946","51.3%","3330","59.9%","5276","56.7%","5256","52.9%","3.8pp"
"Wilt in the Heat","WR","C","13014","5.63","2730","7.25","12648","71.9%","57.9%","2107","54.9%","3485","61.4%","5592","59.0%","6999","56.9%","2.1pp"
"Witherbloom Charm","BG","U","4736","4.50","736","6.43","3366","72.5%","53.9%","582","51.5%","854","56.2%","1436","54.3%","1911","53.4%","0.9pp"
"Witherbloom, the Balancer","BG","M","361","","162","","781","76.9%","52.1%","126","","231","","357","","401","",""
"Zaffai and the Tempests","UR","R","2033","4.14","376","","1181","51.8%","51.3%","188","","363","","551","53.0%","602","49.5%","3.5pp"
"Biblioplex Tomekeeper","","C","16229","8.37","1707","12.18","345","3.3%","","53","","99","","152","","189","",""
"Diary of Dreams","","U","5919","5.70","897","7.81","2842","50.8%","51.8%","521","52.0%","774","53.5%","1295","52.9%","1498","50.7%","2.2pp"
"Mage Tower Referee","","C","15736","7.36","1916","10.64","3302","27.8%","54.2%","602","49.2%","809","53.0%","1411","51.4%","1880","56.4%","-5.0pp"
"Page, Loose Leaf","","C","15713","7.84","1984","11.17","2366","19.2%","52.3%","444","","610","55.7%","1054","53.9%","1294","51.1%","2.8pp"
"Potioner's Trove","","C","13800","5.79","2576","7.71","10734","66.7%","56.0%","1982","57.6%","3035","59.6%","5017","58.8%","5541","53.2%","5.6pp"
"Strixhaven Skycoach","","U","5020","4.46","1436","5.47","7351","79.9%","57.2%","1395","59.3%","1921","62.6%","3316","61.2%","3985","54.0%","7.2pp"
"Deathcap Glade","","R","2010","3.69","383","","1860","77.6%","53.4%","340","","450","","790","55.2%","1031","52.3%","2.9pp"
"Dreamroot Cascade","","R","2015","3.77","450","","2198","81.0%","55.6%","392","","576","60.1%","968","59.3%","1167","52.4%","6.9pp"
"Fields of Strife","","C","16457","5.99","3227","8.30","15435","74.9%","57.3%","2900","59.7%","4081","58.9%","6981","59.2%","8343","55.6%","3.6pp"
"Forum of Amity","","C","16229","5.75","2738","8.17","12130","69.0%","55.4%","2264","58.5%","3009","54.4%","5273","56.1%","6788","54.7%","1.4pp"
"Great Hall of the Biblioplex","","R","2028","3.91","480","","2495","81.4%","56.4%","487","","690","62.5%","1177","59.7%","1277","52.6%","7.1pp"
"Paradox Gardens","","C","15639","5.52","2964","7.59","14234","77.7%","54.4%","2746","57.9%","3815","55.9%","6561","56.8%","7412","52.3%","4.5pp"
"Petrified Hamlet","","R","3173","6.40","387","","49","2.0%","","8","","18","","26","","23","",""
"Shattered Sanctum","","R","2067","3.77","381","","1725","70.1%","54.0%","291","","469","","760","56.3%","944","52.2%","4.1pp"
"Skycoach Waypoint","","U","6457","7.10","696","10.59","924","21.8%","49.5%","133","","240","","373","","542","48.3%",""
"Spectacle Summit","","C","15737","5.54","3060","7.68","15997","80.4%","55.7%","2887","56.7%","4608","57.6%","7495","57.3%","8253","54.2%","3.1pp"
"Stormcarved Coast","","R","1989","3.66","475","","2522","83.7%","55.2%","457","","723","59.8%","1180","59.3%","1288","51.6%","7.8pp"
"Sundown Pass","","R","2043","3.86","464","","2201","79.0%","55.7%","384","","599","59.1%","983","59.5%","1198","52.5%","7.0pp"
"Terramorphic Expanse","","C","12309","4.64","2713","6.37","16593","94.1%","55.9%","3121","58.2%","4288","55.8%","7409","56.8%","9042","55.0%","1.8pp"
"Titan's Grave","","C","15842","5.55","2610","7.80","12819","78.9%","55.3%","2419","55.7%","3279","56.0%","5698","55.8%","6967","54.6%","1.2pp"
"Akroma's Will","W","M","100","","51","","271","","","46","","74","","120","","149","",""
"Angel's Grace","W","R","613","5.79","71","","31","","","8","","7","","15","","16","",""
"Armageddon","W","M","204","","47","","132","","","18","","41","","59","","74","",""
"Duty Beyond Death","W","U","5730","6.25","644","9.52","831","20.6%","50.9%","130","","195","","325","","505","49.7%",""
"Helping Hand","W","U","5282","5.36","684","7.72","2178","49.9%","55.6%","361","","555","57.7%","916","56.4%","1255","54.9%","1.5pp"
"Hop to It","W","U","5039","5.10","982","6.54","4300","69.5%","55.5%","757","54.7%","1058","55.2%","1815","55.0%","2477","55.7%","-0.7pp"
"Prismatic Ending","W","R","471","","103","","306","51.0%","","54","","75","","129","","173","",""
"Repel Calamity","W","U","3719","3.59","1045","4.25","5820","89.3%","58.9%","1053","59.7%","1542","60.5%","2595","60.2%","3185","57.8%","2.4pp"
"Reprieve","W","R","397","","104","","592","85.3%","57.6%","113","","168","","281","","307","",""
"Requisition Raid","W","U","5560","6.01","608","9.06","939","24.4%","51.8%","164","","234","","398","","537","52.1%",""
"Return to the Ranks","W","R","514","5.20","71","","115","","","23","","22","","45","","67","",""
"Winds of Abandon","W","M","109","","50","","297","","","52","","90","","142","","153","",""
"Brain Freeze","U","R","500","5.23","106","","258","41.0%","","33","","92","","125","","123","",""
"Cyclonic Rift","U","M","117","","67","","373","","","71","","94","","165","","194","",""
"Daze","U","R","497","","91","","283","52.7%","","44","","80","","124","","154","",""
"Deduce","U","U","5183","5.17","915","7.07","3942","68.9%","54.1%","700","55.1%","1173","56.2%","1873","55.8%","1989","52.6%","3.2pp"
"Disdainful Stroke","U","U","5071","5.23","927","7.14","4070","69.3%","54.6%","686","52.8%","1168","58.7%","1854","56.5%","2121","52.6%","4.0pp"
"Flusterstorm","U","M","304","","41","","30","","","10","","10","","20","","10","",""
"Force of Will","U","M","132","","29","","128","","","19","","51","","70","","53","",""
"Pongify","U","R","589","5.20","45","","48","","","6","","15","","21","","21","",""
"Preordain","U","R","456","","103","","504","86.2%","55.4%","93","","152","","245","","246","",""
"Sleight of Hand","U","U","5325","5.34","775","7.64","2997","61.2%","53.3%","575","54.6%","892","57.3%","1467","56.2%","1486","50.3%","6.0pp"
"Spell Pierce","U","U","5886","6.50","701","9.56","1258","29.4%","49.0%","240","","353","","593","53.1%","643","44.8%","8.3pp"
"Stock Up","U","U","2901","2.90","1046","3.44","6129","91.1%","55.8%","1089","56.7%","1754","62.6%","2843","60.3%","3146","51.5%","8.8pp"
"Ad Nauseam","B","M","278","","35","","25","","","7","","6","","13","","12","",""
"Bitter Triumph","B","U","2900","2.83","880","3.25","5067","90.4%","56.6%","862","58.5%","1329","60.9%","2191","60.0%","2819","53.9%","6.1pp"
"Culling the Weak","B","R","612","5.69","65","","19","","","5","","5","","10","","9","",""
"Dismember","B","R","186","","121","","707","99.2%","55.9%","119","","168","","287","","416","",""
"Feed the Swarm","B","U","3454","3.55","728","4.58","3850","85.8%","53.5%","667","51.7%","977","53.7%","1644","52.9%","2174","53.7%","-0.8pp"
"Living End","B","M","272","","33","","4","","","1","","2","","3","","1","",""
"Locust Spray","B","U","6039","6.25","718","9.23","1508","34.1%","51.1%","261","","358","","619","47.5%","886","53.3%","-5.8pp"
"Sheoldred's Edict","B","R","396","","82","","340","","","50","","91","","141","","197","",""
"Smallpox","B","R","680","5.87","78","","39","7.7%","","7","","10","","17","","22","",""
"Stargaze","B","U","6235","6.71","726","10.09","1179","25.1%","53.9%","201","","322","","523","56.0%","650","51.8%","4.2pp"
"Vampiric Tutor","B","M","158","","31","","80","","","17","","21","","38","","42","",""
"Zombify","B","U","5581","6.04","588","9.31","682","19.5%","45.9%","111","","173","","284","","396","",""
"Abrade","R","U","3187","3.09","1070","3.64","6410","92.0%","56.8%","1062","57.0%","1824","59.3%","2886","58.5%","3402","54.9%","3.5pp"
"Big Score","R","R","430","","77","","347","","","59","","114","","173","","171","",""
"Brotherhood's End","R","R","394","","94","","440","73.2%","","70","","128","","198","","231","",""
"Bulk Up","R","U","6129","7.01","663","10.60","641","15.3%","48.2%","91","","170","","261","","378","",""
"Burst Lightning","R","U","3086","3.05","1138","3.63","6790","92.9%","57.2%","1167","58.6%","1976","60.6%","3143","59.8%","3519","54.3%","5.6pp"
"Crackle with Power","R","M","129","","63","","390","","","72","","116","","188","","187","",""
"Empty the Warrens","R","R","542","5.21","76","","160","","","21","","48","","69","","84","",""
"Jeska's Will","R","M","267","","36","","31","","","6","","9","","15","","15","",""
"Monstrous Rage","R","U","5226","5.31","875","7.13","2899","52.1%","55.3%","497","","772","55.7%","1269","56.2%","1614","54.3%","1.8pp"
"Pyretic Ritual","R","R","656","5.86","60","","22","","","0","","6","","6","","15","",""
"Return the Favor","R","U","6062","6.73","682","10.20","716","16.9%","47.5%","133","","222","","355","","354","",""
"Subterranean Tremors","R","M","115","","57","","333","","","45","","130","","175","","142","",""
"Awaken the Woods","G","M","160","","40","","169","","","28","","51","","79","","84","",""
"Berserk","G","M","274","","40","","65","","","5","","20","","25","","40","",""
"Crop Rotation","G","R","671","6.18","63","","25","","","3","","3","","6","","19","",""
"Giant Growth","G","U","6234","6.57","643","9.83","1065","25.7%","51.7%","173","","261","","434","","628","50.3%",""
"Glimpse of Nature","G","R","616","5.87","69","","26","","","1","","12","","13","","12","",""
"Knockout Maneuver","G","U","4023","3.94","821","5.07","4266","82.5%","54.6%","756","53.2%","1153","57.8%","1909","56.0%","2301","53.0%","3.0pp"
"Pick Your Poison","G","U","6293","7.10","602","11.06","233","6.0%","","35","","65","","100","","132","",""
"Royal Treatment","G","U","5360","5.25","812","7.24","3005","62.2%","54.5%","538","53.2%","736","56.5%","1274","55.1%","1716","53.8%","1.3pp"
"Shamanic Revelation","G","R","493","","62","","184","","","26","","40","","66","","118","",""
"Shared Roots","G","U","4275","4.20","825","5.45","3957","75.8%","55.8%","687","59.8%","1054","54.9%","1741","56.9%","2179","55.1%","1.8pp"
"Triumph of the Hordes","G","M","215","","29","","67","","","12","","26","","38","","29","",""
"Veil of Summer","G","R","676","5.86","70","","35","","","3","","9","","12","","23","",""
"Bring to Light","UG","R","580","5.10","74","","105","20.2%","","21","","31","","52","","52","",""
"Culling Ritual","BG","R","518","4.77","69","","139","","","24","","34","","58","","80","",""
"Deflecting Palm","WR","R","533","5.21","70","","47","","","9","","13","","22","","25","",""
"Expressive Iteration","UR","R","331","","97","","627","90.3%","59.3%","128","","183","","311","","294","",""
"Fracture","WB","R","579","5.95","76","","66","","","13","","19","","32","","33","",""
"Archaeomancer","U","C","248","","48","","170","","","25","","66","","91","","76","",""
"Archmage Emeritus","U","R","106","","30","","162","","","30","","46","","76","","81","",""
"Murmuring Mystic","U","U","136","","47","","293","","","54","","98","","152","","139","",""
"Grim Haruspex","B","R","130","","41","","166","","","32","","44","","76","","92","",""
"Dualcaster Mage","R","R","161","","38","","194","","","43","","49","","92","","100","",""
"Magus of the Library","G","R","249","","49","","117","","","20","","37","","57","","58","",""
"Sylvan Library","G","M","128","","34","","134","","","24","","27","","51","","80","",""
"Adrix and Nev, Twincasters","UG","M","152","","30","","82","","","11","","28","","39","","42","",""
"Codie, Vociferous Codex","","R","289","","43","","83","","","17","","22","","39","","42","",""
"Library of Alexandria","","M","98","","38","","234","","","45","","65","","110","","123","",""
