"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Paradox Surveyor","UG","U","2770","4.29","672","5.09","2653","77.6%","56.2%","477","","756","61.8%","1233","59.6%","1371","53.2%","6.4pp"
"Pest Mascot","BG","C","7100","4.98","1116","6.62","4234","76.8%","53.5%","756","54.4%","1033","54.7%","1789","54.6%","2385","52.7%","1.9pp"
"Practiced Scrollsmith","WR","U","2899","4.66","647","5.66","2563","75.3%","60.0%","451","","687","62.2%","1138","61.2%","1415","58.8%","2.4pp"
"Prismari Charm","UR","U","2930","4.43","690","5.53","2647","77.3%","56.6%","450","","856","59.8%","1306","58.8%","1264","53.7%","5.1pp"
"Prismari, the Inspiration","UR","M","259","","109","","458","83.7%","","69","","163","","232","","219","",""
"Proctor's Gaze","UG","U","2970","4.61","717","5.56","2838","80.5%","55.2%","475","","828","60.7%","1303","58.9%","1487","51.8%","7.1pp"
"Professor Dellian Fel","BG","M","182","","136","","641","83.2%","56.2%","111","","182","","293","","342","",""
"Pterafractyl","UG","C","8103","5.75","1237","8.07","4020","66.8%","55.0%","702","52.1%","1127","60.8%","1829","57.5%","2063","52.5%","4.9pp"
"Pursue the Past","WR","C","9433","7.42","1227","10.46","2560","39.1%","60.8%","412","","614","61.1%","1026","61.5%","1533","60.3%","1.2pp"
"Quandrix Charm","UG","U","3062","4.74","580","6.34","2022","70.0%","54.3%","343","","600","58.3%","943","57.5%","1042","50.7%","6.8pp"
"Quandrix, the Proof","UG","M","207","","142","","721","92.8%","58.3%","130","","216","","346","","356","",""
"Rapturous Moment","UR","U","3421","5.49","637","7.17","1814","55.8%","53.0%","327","","537","53.8%","864","54.7%","879","50.6%","4.1pp"
"Render Speechless","WB","C","9431","7.39","1197","10.23","2054","32.2%","56.7%","352","","514","58.8%","866","60.2%","1169","54.6%","5.6pp"
"Resonating Lute","UR","R","865","2.94","281","","948","74.0%","54.7%","163","","296","","459","","469","",""
"Root Manipulation","BG","U","3368","5.70","459","","1082","47.4%","54.1%","178","","271","","449","","633","55.9%",""
"Sanar, Unfinished Genius","UR","U","2547","4.03","651","4.69","2721","86.2%","56.7%","525","61.0%","775","57.8%","1300","59.1%","1342","53.2%","5.9pp"
"Scolding Administrator","WB","U","2256","3.84","530","4.63","2262","78.8%","57.6%","380","","537","56.4%","917","57.6%","1336","57.9%","-0.3pp"
"Silverquill Charm","WB","U","2599","4.14","513","5.19","2106","81.8%","59.3%","377","","563","63.1%","940","62.1%","1150","56.9%","5.3pp"
"Silverquill, the Disputant","WB","M","198","","111","","534","83.4%","55.6%","97","","166","","263","","269","",""
"Snooping Page","WB","U","2539","4.07","539","5.08","2190","79.1%","56.8%","407","","546","53.7%","953","57.2%","1230","56.3%","0.9pp"
"Social Snub","WB","U","3702","6.25","434","","568","24.7%","51.6%","91","","155","","246","","321","",""
"Spectacular Skywhale","UR","U","2576","4.20","601","5.07","2424","80.1%","53.2%","361","","752","53.5%","1113","51.8%","1251","53.6%","-1.9pp"
"Spirit Mascot","WR","C","8739","6.69","1340","8.93","4311","61.1%","60.9%","765","61.8%","1070","57.4%","1835","59.2%","2481","62.1%","-2.9pp"
"Splatter Technique","UR","R","697","2.62","325","","1387","86.1%","56.2%","244","","432","","676","58.6%","645","52.1%","6.5pp"
"Stadium Tidalmage","UR","C","9068","6.82","1471","9.22","3802","50.1%","55.8%","632","54.9%","1116","57.5%","1748","56.6%","1945","55.0%","1.6pp"
"Startled Relic Sloth","WR","U","2799","4.55","561","5.69","2290","76.9%","60.7%","352","","604","60.9%","956","60.1%","1330","61.1%","-0.9pp"
"Stirring Honormancer","WB","U","2904","4.62","621","5.57","2329","71.5%","57.5%","396","","599","61.9%","995","58.3%","1312","57.2%","1.1pp"
"Stress Dream","UR","U","2551","3.89","769","4.52","3420","85.7%","59.0%","565","57.0%","1016","65.3%","1581","62.3%","1697","55.5%","6.9pp"
"Suspend Aggression","WR","R","1123","4.13","285","","901","64.7%","61.2%","158","","220","","378","","520","60.0%",""
"Tam, Observant Sequencer","UG","U","2442","3.77","536","4.81","2051","78.8%","52.8%","379","","565","55.8%","944","54.0%","1066","50.8%","3.3pp"
"Teacher's Pest","BG","U","2503","3.69","567","4.57","2176","81.3%","54.7%","404","","476","","880","56.3%","1264","53.7%","2.5pp"
"Traumatic Critique","UR","R","660","2.33","329","","1550","90.7%","58.4%","265","","484","","749","60.9%","730","55.9%","5.0pp"
"Vibrant Outburst","UR","U","2421","3.63","655","4.30","2937","88.5%","57.0%","510","56.1%","838","61.2%","1348","59.3%","1491","53.9%","5.4pp"
"Vicious Rivalry","BG","R","774","2.84","278","","1061","78.4%","56.1%","170","","258","","428","","622","53.4%",""
"Visionary's Dance","UR","C","8487","5.96","1541","8.02","5504","69.0%","55.4%","988","54.8%","1616","57.7%","2604","56.6%","2704","53.7%","2.9pp"
"Wilt in the Heat","WR","C","9033","6.37","1603","8.54","5028","59.6%","60.5%","865","56.3%","1334","63.9%","2199","60.9%","2803","60.0%","0.9pp"
"Witherbloom Charm","BG","U","2690","4.29","502","5.64","1938","79.3%","53.7%","311","","532","57.3%","843","53.7%","1085","53.5%","0.3pp"
"Witherbloom, the Balancer","BG","M","199","","114","","490","88.8%","","87","","117","","204","","272","",""
"Zaffai and the Tempests","UR","R","1228","4.04","221","","638","54.5%","54.2%","97","","201","","298","","328","",""
"Biblioplex Tomekeeper","","C","10220","7.97","1015","11.74","310","6.0%","","52","","84","","136","","171","",""
"Diary of Dreams","","U","3678","5.65","591","7.45","1602","54.3%","53.3%","286","","414","","700","51.9%","883","54.4%","-2.5pp"
"Mage Tower Referee","","C","9618","7.20","1228","10.31","1802","29.2%","54.8%","333","","436","","769","55.8%","1018","53.7%","2.1pp"
"Page, Loose Leaf","","C","9952","7.58","1224","10.78","1364","21.4%","53.5%","228","","377","","605","55.4%","737","52.1%","3.3pp"
"Potioner's Trove","","C","8894","6.25","1367","8.61","3709","53.4%","55.9%","670","56.9%","1047","59.5%","1717","58.5%","1948","53.7%","4.7pp"
"Strixhaven Skycoach","","U","3468","5.26","724","6.95","2492","65.2%","58.4%","466","","612","65.2%","1078","63.5%","1401","54.8%","8.6pp"
"Deathcap Glade","","R","1225","3.64","250","","1013","77.8%","53.6%","205","","244","","449","","547","53.4%",""
"Dreamroot Cascade","","R","1202","3.54","237","","931","80.4%","55.9%","161","","253","","414","","497","",""
"Fields of Strife","","C","10670","6.58","1922","9.05","6477","64.9%","57.8%","1237","59.4%","1657","59.8%","2894","59.6%","3539","56.4%","3.2pp"
"Forum of Amity","","C","10326","6.02","1666","8.46","5913","69.4%","55.7%","1100","58.9%","1433","54.7%","2533","56.5%","3340","55.0%","1.5pp"
"Great Hall of the Biblioplex","","R","1183","3.60","246","","1027","85.9%","53.8%","180","","264","","444","","560","52.0%",""
"Paradox Gardens","","C","10111","5.76","1948","7.91","7536","77.9%","54.2%","1411","54.7%","2027","56.7%","3438","55.9%","3976","52.6%","3.3pp"
"Petrified Hamlet","","R","1841","5.93","207","","38","3.7%","","5","","13","","18","","20","",""
"Shattered Sanctum","","R","1190","3.61","204","","775","74.2%","55.5%","144","","175","","319","","450","",""
"Skycoach Waypoint","","U","3998","6.74","430","","552","26.6%","49.1%","87","","133","","220","","326","",""
"Spectacle Summit","","C","9985","5.94","2033","8.06","8069","79.1%","54.9%","1495","56.4%","2238","56.5%","3733","56.4%","4231","53.4%","3.1pp"
"Stormcarved Coast","","R","1247","3.65","267","","1094","79.7%","56.8%","194","","318","","512","58.2%","551","55.0%","3.2pp"
"Sundown Pass","","R","1335","3.87","228","","746","68.3%","56.7%","138","","195","","333","","408","",""
"Terramorphic Expanse","","C","8076","4.92","1836","6.74","8575","92.4%","56.0%","1615","56.7%","2188","57.6%","3803","57.2%","4702","55.0%","2.2pp"
"Titan's Grave","","C","9953","5.71","1695","7.91","6917","79.9%","55.3%","1294","57.3%","1684","53.5%","2978","55.2%","3853","55.2%","-0.0pp"
"Akroma's Will","W","M","77","","39","","160","","","23","","35","","58","","98","",""
"Angel's Grace","W","R","351","","27","","17","","","1","","8","","9","","8","",""
"Armageddon","W","M","114","","16","","19","","","3","","4","","7","","12","",""
"Duty Beyond Death","W","U","3303","5.75","389","","538","26.0%","52.2%","109","","135","","244","","291","",""
"Helping Hand","W","U","3014","5.01","352","","944","51.8%","55.9%","142","","221","","363","","576","59.2%",""
"Hop to It","W","U","3121","5.14","539","6.45","1684","62.5%","56.5%","288","","414","","702","59.3%","978","54.3%","5.0pp"
"Prismatic Ending","W","R","272","","55","","132","","","23","","38","","61","","68","",""
"Repel Calamity","W","U","2481","4.05","532","4.77","2286","82.3%","58.3%","404","","558","59.9%","962","59.5%","1309","57.3%","2.2pp"
"Reprieve","W","R","275","","57","","234","","","37","","63","","100","","129","",""
"Requisition Raid","W","U","3122","5.42","318","","446","28.0%","","74","","107","","181","","259","",""
"Return to the Ranks","W","R","337","","31","","41","","","6","","14","","20","","21","",""
"Winds of Abandon","W","M","81","","36","","189","","","35","","62","","97","","91","",""
"Brain Freeze","U","R","323","","40","","80","","","16","","23","","39","","41","",""
"Cyclonic Rift","U","M","57","","32","","147","","","23","","42","","65","","80","",""
"Daze","U","R","277","","51","","177","","","26","","62","","88","","86","",""
"Deduce","U","U","3189","5.13","582","6.76","1993","69.0%","54.8%","338","","591","59.1%","929","58.7%","1019","50.9%","7.7pp"
"Disdainful Stroke","U","U","3141","5.28","535","7.20","1674","62.1%","54.5%","299","","492","","791","56.1%","845","52.2%","3.9pp"
"Flusterstorm","U","M","151","","17","","14","","","2","","4","","6","","8","",""
"Force of Will","U","M","71","","26","","83","","","20","","17","","37","","45","",""
"Pongify","U","R","334","","33","","51","","","13","","15","","28","","21","",""
"Preordain","U","R","221","","45","","201","","","41","","54","","95","","101","",""
"Sleight of Hand","U","U","3155","5.19","484","","1463","63.0%","52.2%","257","","420","","677","55.7%","768","48.8%","6.9pp"
"Spell Pierce","U","U","3512","6.01","370","","596","32.4%","51.7%","100","","159","","259","","324","",""
"Stock Up","U","U","1802","2.95","713","3.27","3395","91.2%","56.7%","594","57.6%","982","59.5%","1576","58.8%","1759","54.9%","3.9pp"
"Ad Nauseam","B","M","145","","17","","0","","","0","","0","","0","","0","",""
"Bitter Triumph","B","U","1760","2.76","569","3.25","2609","89.3%","55.7%","420","","692","60.8%","1112","57.7%","1469","54.1%","3.7pp"
"Culling the Weak","B","R","353","","35","","17","","","3","","6","","9","","8","",""
"Dismember","B","R","118","","76","","366","","","64","","102","","166","","192","",""
"Feed the Swarm","B","U","2135","3.42","453","","1914","86.8%","53.8%","372","","468","","840","53.8%","1060","54.0%","-0.2pp"
"Living End","B","M","145","","16","","1","","","0","","1","","1","","0","",""
"Locust Spray","B","U","3550","5.77","450","","967","42.0%","51.6%","159","","232","","391","","574","53.3%",""
"Sheoldred's Edict","B","R","208","","40","","172","","","31","","49","","80","","92","",""
"Smallpox","B","R","355","","36","","24","","","7","","8","","15","","9","",""
"Stargaze","B","U","3695","6.32","445","","625","28.6%","55.2%","117","","156","","273","","350","",""
"Vampiric Tutor","B","M","91","","20","","56","","","10","","11","","21","","35","",""
"Zombify","B","U","3285","5.52","314","","374","23.3%","","52","","89","","141","","231","",""
"Abrade","R","U","2187","3.34","625","4.05","3105","90.2%","58.8%","579","59.6%","871","61.0%","1450","60.4%","1600","57.2%","3.2pp"
"Big Score","R","R","255","","52","","200","","","26","","68","","94","","102","",""
"Brotherhood's End","R","R","254","","44","","143","","","34","","43","","77","","62","",""
"Bulk Up","R","U","3661","6.40","363","","337","18.6%","","51","","100","","151","","185","",""
"Burst Lightning","R","U","2023","3.29","703","3.72","3326","90.3%","58.5%","583","59.0%","921","61.3%","1504","60.4%","1732","56.5%","3.9pp"
"Crackle with Power","R","M","99","","42","","206","","","40","","67","","107","","90","",""
"Empty the Warrens","R","R","313","","23","","70","","","15","","22","","37","","31","",""
"Jeska's Will","R","M","134","","16","","8","","","3","","0","","3","","5","",""
"Monstrous Rage","R","U","3120","5.25","501","6.84","1339","52.2%","57.1%","211","","352","","563","58.3%","764","56.0%","2.2pp"
"Pyretic Ritual","R","R","335","","31","","23","","","3","","7","","10","","13","",""
"Return the Favor","R","U","3641","6.29","400","","462","22.5%","","68","","118","","186","","265","",""
"Subterranean Tremors","R","M","73","","38","","185","","","38","","53","","91","","86","",""
"Awaken the Woods","G","M","84","","23","","91","","","18","","28","","46","","41","",""
"Berserk","G","M","117","","22","","33","","","2","","11","","13","","20","",""
"Crop Rotation","G","R","452","","52","","19","","","2","","7","","9","","10","",""
"Giant Growth","G","U","3515","6.08","385","","741","36.8%","53.8%","112","","183","","295","","438","",""
"Glimpse of Nature","G","R","360","","38","","19","","","5","","4","","9","","8","",""
"Knockout Maneuver","G","U","2450","3.81","573","4.73","2429","86.6%","55.2%","420","","640","58.6%","1060","57.8%","1334","53.1%","4.8pp"
"Pick Your Poison","G","U","3717","6.42","359","","245","13.8%","","38","","70","","108","","135","",""
"Royal Treatment","G","U","3171","5.02","527","6.97","1777","66.9%","53.2%","294","","453","","747","54.8%","1020","52.0%","2.8pp"
"Shamanic Revelation","G","R","288","","43","","108","","","17","","23","","40","","68","",""
"Shared Roots","G","U","2746","4.34","536","5.63","1969","73.9%","55.0%","363","","533","54.4%","896","57.0%","1062","53.4%","3.6pp"
"Triumph of the Hordes","G","M","119","","12","","21","","","6","","2","","8","","13","",""
"Veil of Summer","G","R","364","","44","","20","","","1","","2","","3","","17","",""
"Bring to Light","UG","R","322","","37","","40","","","6","","14","","20","","20","",""
"Culling Ritual","BG","R","281","","35","","49","","","9","","11","","20","","29","",""
"Deflecting Palm","WR","R","321","","35","","20","","","5","","3","","8","","12","",""
"Expressive Iteration","UR","R","226","","62","","275","","","45","","74","","119","","148","",""
"Fracture","WB","R","365","","37","","41","","","8","","7","","15","","26","",""
"Archaeomancer","U","C","158","","26","","69","","","9","","18","","27","","40","",""
"Archmage Emeritus","U","R","72","","31","","139","","","18","","44","","62","","69","",""
"Murmuring Mystic","U","U","87","","32","","124","","","23","","35","","58","","57","",""
"Grim Haruspex","B","R","72","","20","","94","","","20","","25","","45","","44","",""
"Dualcaster Mage","R","R","93","","32","","138","","","19","","49","","68","","69","",""
"Magus of the Library","G","R","132","","23","","60","","","5","","9","","14","","46","",""
"Sylvan Library","G","M","72","","17","","56","","","8","","13","","21","","35","",""
"Adrix and Nev, Twincasters","UG","M","82","","20","","60","","","5","","17","","22","","33","",""
"Codie, Vociferous Codex","","R","181","","23","","37","","","4","","16","","20","","17","",""
"Library of Alexandria","","M","79","","35","","150","","","23","","37","","60","","85","",""
